"Date","Open","High","Low","Close","TotalVolume"
2007/7/2,0.000000,0.000000,0.000000,-3488.000000,0
2007/7/3,0.000000,0.000000,0.000000,-4462.000000,0
2007/7/4,0.000000,0.000000,0.000000,-4160.000000,0
2007/7/5,0.000000,0.000000,0.000000,-4092.000000,0
2007/7/6,0.000000,0.000000,0.000000,-3831.000000,0
2007/7/9,0.000000,0.000000,0.000000,-3913.000000,0
2007/7/10,0.000000,0.000000,0.000000,-2699.000000,0
2007/7/11,0.000000,0.000000,0.000000,-2162.000000,0
2007/7/12,0.000000,0.000000,0.000000,-2889.000000,0
2007/7/13,0.000000,0.000000,0.000000,-3316.000000,0
2007/7/16,0.000000,0.000000,0.000000,-2986.000000,0
2007/7/17,0.000000,0.000000,0.000000,-3640.000000,0
2007/7/18,0.000000,0.000000,0.000000,-3075.000000,0
2007/7/19,0.000000,0.000000,0.000000,445.000000,0
2007/7/20,0.000000,0.000000,0.000000,-221.000000,0
2007/7/23,0.000000,0.000000,0.000000,-127.000000,0
2007/7/24,0.000000,0.000000,0.000000,-346.000000,0
2007/7/25,0.000000,0.000000,0.000000,-224.000000,0
2007/7/26,0.000000,0.000000,0.000000,100.000000,0
2007/7/27,0.000000,0.000000,0.000000,1277.000000,0
2007/7/30,0.000000,0.000000,0.000000,1426.000000,0
2007/7/31,0.000000,0.000000,0.000000,470.000000,0
2007/8/1,0.000000,0.000000,0.000000,1057.000000,0
2007/8/2,0.000000,0.000000,0.000000,886.000000,0
2007/8/3,0.000000,0.000000,0.000000,770.000000,0
2007/8/6,0.000000,0.000000,0.000000,1150.000000,0
2007/8/7,0.000000,0.000000,0.000000,1437.000000,0
2007/8/8,0.000000,0.000000,0.000000,468.000000,0
2007/8/9,0.000000,0.000000,0.000000,615.000000,0
2007/8/10,0.000000,0.000000,0.000000,1311.000000,0
2007/8/13,0.000000,0.000000,0.000000,842.000000,0
2007/8/14,0.000000,0.000000,0.000000,894.000000,0
2007/8/15,0.000000,0.000000,0.000000,1279.000000,0
2007/8/16,0.000000,0.000000,0.000000,1712.000000,0
2007/8/17,0.000000,0.000000,0.000000,1671.000000,0
2007/8/20,0.000000,0.000000,0.000000,-47.000000,0
2007/8/21,0.000000,0.000000,0.000000,352.000000,0
2007/8/22,0.000000,0.000000,0.000000,102.000000,0
